0,1,2,3,4,5,6,7,8,9
0.096972704,0.041348513,0.107007146,0.09520984,0.124904595,0.122621804,0.010145798,0.12621763,0.18506311,0.11508738
0.096972704,0.041348513,0.107007146,0.09520984,0.124904595,0.122621804,0.010145798,0.12621763,0.18506311,0.11508738
0.096972704,0.041348513,0.107007146,0.09520984,0.124904595,0.122621804,0.010145798,0.12621763,0.18506311,0.11508738
0.096972704,0.041348513,0.107007146,0.09520984,0.124904595,0.122621804,0.010145798,0.12621763,0.18506311,0.11508738
0.61915255,0.41140586,0.38290343,0.616103,0.7211552,0.72564936,0.18967196,0.7985114,0.5643701,0.29007152
0.61915255,0.41140586,0.38290343,0.616103,0.7211552,0.72564936,0.18967196,0.7985114,0.5643701,0.29007152
0.71625614,0.45491046,0.43569028,0.71307755,0.7933042,0.7983191,0.2336075,0.8932443,0.63644665,0.33604535
0.8145758,0.5688644,0.5535669,0.8111311,0.9610097,0.96671695,0.23755348,0.9867844,0.7371294,0.40750572
0.19592799,0.10536245,0.08990211,0.19033451,0.2232284,0.21978298,0.017261622,0.1770745,0.20795967,0.12752183
0.19592799,0.10536245,0.08990211,0.19033451,0.2232284,0.21978298,0.017261622,0.1770745,0.20795967,0.12752183
0.19592799,0.10536245,0.08990211,0.19033451,0.2232284,0.21978298,0.017261622,0.1770745,0.2897076,0.12752183
0.19592799,0.119834006,0.08990211,0.19033451,0.23778044,0.22938931,0.017261622,0.1770745,0.2897076,0.13473156
0.25918904,0.14069788,0.08990211,0.25416481,0.2700244,0.2676681,0.017261622,0.3271018,0.29415572,0.13473156
1.2355747,1.0325171,1.1944171,1.2357742,1.5640073,1.555203,0.62217575,1.2426497,1.0968719,0.8939554
